,colour,frequency
531,"(183, 183, 193)",1.0
532,"(226, 218, 182)",1.0
533,"(183, 164, 168)",1.0
534,"(237, 243, 229)",1.0
535,"(213, 187, 174)",1.0
536,"(122, 203, 232)",1.0
537,"(158, 160, 201)",1.0
538,"(72, 72, 74)",1.0
539,"(242, 205, 213)",1.0
540,"(253, 250, 241)",1.0
541,"(91, 77, 74)",1.0
542,"(123, 153, 207)",1.0
543,"(93, 86, 138)",1.0
544,"(205, 224, 228)",1.0
545,"(205, 225, 214)",1.0
546,"(180, 209, 129)",1.0
547,"(167, 212, 143)",1.0
548,"(46, 82, 108)",1.0
549,"(157, 106, 75)",1.0
550,"(253, 252, 250)",1.0
551,"(139, 159, 96)",1.0
552,"(218, 214, 211)",1.0
553,"(201, 132, 93)",1.0
554,"(0, 114, 187)",1.0
555,"(224, 129, 71)",1.0
556,"(36, 34, 35)",1.0
557,"(57, 55, 56)",1.0
558,"(218, 207, 161)",1.0
559,"(72, 72, 72)",1.0
560,"(229, 215, 150)",1.0
561,"(71, 71, 63)",1.0
562,"(155, 116, 99)",1.0
563,"(246, 194, 134)",1.0
564,"(132, 88, 63)",1.0
565,"(244, 206, 73)",1.0
566,"(150, 113, 61)",1.0
567,"(126, 157, 113)",1.0
568,"(91, 136, 155)",1.0
569,"(90, 144, 170)",1.0
570,"(204, 141, 136)",1.0
571,"(248, 222, 225)",1.0
572,"(179, 100, 105)",1.0
573,"(78, 77, 75)",1.0
574,"(74, 70, 69)",1.0
575,"(91, 162, 182)",1.0
576,"(81, 140, 112)",1.0
577,"(222, 235, 241)",1.0
578,"(181, 41, 67)",1.0
579,"(190, 181, 174)",1.0
580,"(216, 210, 184)",1.0
581,"(243, 242, 248)",1.0
582,"(235, 96, 103)",1.0
583,"(89, 82, 76)",1.0
584,"(94, 93, 91)",1.0
585,"(131, 199, 218)",1.0
586,"(224, 171, 121)",1.0
587,"(143, 201, 150)",1.0
588,"(73, 174, 204)",1.0
589,"(160, 91, 94)",1.0
590,"(61, 44, 34)",1.0
591,"(161, 132, 176)",1.0
592,"(252, 216, 216)",1.0
593,"(252, 232, 161)",1.0
594,"(249, 227, 170)",1.0
595,"(108, 108, 108)",1.0
596,"(233, 224, 209)",1.0
597,"(243, 244, 248)",1.0
598,"(141, 121, 149)",1.0
599,"(219, 188, 170)",1.0
600,"(158, 48, 61)",1.0
601,"(218, 167, 184)",1.0
602,"(218, 227, 172)",1.0
603,"(109, 195, 194)",1.0
604,"(139, 160, 129)",1.0
605,"(74, 74, 74)",2.0
606,"(94, 94, 102)",1.0
607,"(13, 63, 62)",1.0
608,"(182, 142, 116)",1.0
609,"(190, 212, 150)",1.0
610,"(240, 227, 195)",1.0
611,"(83, 74, 69)",1.0
612,"(94, 163, 72)",1.0
613,"(220, 236, 200)",1.0
614,"(96, 128, 189)",1.0
615,"(226, 233, 239)",1.0
616,"(60, 56, 55)",1.0
617,"(172, 98, 111)",1.0
618,"(221, 87, 111)",1.0
619,"(239, 128, 56)",1.0
620,"(48, 48, 48)",1.0
621,"(247, 244, 165)",1.0
622,"(63, 59, 56)",1.0
623,"(78, 74, 73)",1.0
624,"(229, 236, 244)",1.0
625,"(241, 153, 105)",1.0
626,"(236, 129, 75)",1.0
627,"(242, 242, 242)",1.0
628,"(236, 234, 111)",1.0
629,"(208, 143, 151)",1.0
630,"(87, 117, 93)",1.0
631,"(123, 173, 208)",1.0
632,"(101, 96, 100)",1.0
633,"(171, 181, 180)",1.0
634,"(143, 138, 134)",1.0
635,"(241, 222, 93)",1.0
636,"(85, 101, 114)",1.0
637,"(217, 208, 229)",1.0
638,"(219, 223, 110)",1.0
639,"(180, 223, 239)",1.0
640,"(243, 233, 206)",1.0
641,"(244, 177, 134)",1.0
642,"(0, 88, 110)",1.0
643,"(68, 66, 80)",1.0
644,"(67, 66, 64)",1.0
645,"(223, 104, 96)",1.0
646,"(76, 74, 75)",1.0
647,"(100, 96, 95)",1.0
648,"(240, 245, 249)",1.0
649,"(252, 231, 124)",1.0
650,"(72, 58, 49)",1.0
651,"(71, 64, 71)",1.0
652,"(206, 81, 75)",1.0
653,"(177, 206, 202)",1.0
